21:19:47.110792 git.c:502               trace: built-in: git push
21:19:47.111707 run-command.c:673       trace: run_command: GIT_DIR=.git git remote-https origin https://github.com/martybprod/tatrame.git
21:19:47.111725 run-command.c:765       trace: start_command: /opt/homebrew/opt/git/libexec/git-core/git remote-https origin https://github.com/martybprod/tatrame.git
21:19:47.118323 git.c:811               trace: exec: git-remote-https origin https://github.com/martybprod/tatrame.git
21:19:47.118512 run-command.c:673       trace: run_command: git-remote-https origin https://github.com/martybprod/tatrame.git
21:19:47.118527 run-command.c:765       trace: start_command: /opt/homebrew/opt/git/libexec/git-core/git-remote-https origin https://github.com/martybprod/tatrame.git
21:19:47.126639 http.c:994              == Info: Couldn't find host github.com in the .netrc file; using defaults
21:19:47.703720 http.c:994              == Info: Host github.com:443 was resolved.
21:19:47.703760 http.c:994              == Info: IPv6: (none)
21:19:47.703765 http.c:994              == Info: IPv4: 140.82.113.3
21:19:47.703789 http.c:994              == Info:   Trying 140.82.113.3:443...
21:19:47.770948 http.c:994              == Info: Connected to github.com (140.82.113.3) port 443
21:19:47.771032 http.c:994              == Info: ALPN: curl offers h2,http/1.1
21:19:47.771163 http.c:994              == Info: (304) (OUT), TLS handshake, Client hello (1):
21:19:47.773957 http.c:994              == Info:  CAfile: /etc/ssl/cert.pem
21:19:47.773966 http.c:994              == Info:  CApath: none
21:19:48.447495 http.c:994              == Info: (304) (IN), TLS handshake, Server hello (2):
21:19:48.447589 http.c:994              == Info: (304) (IN), TLS handshake, Unknown (8):
21:19:48.447604 http.c:994              == Info: (304) (IN), TLS handshake, Certificate (11):
21:19:48.448861 http.c:994              == Info: (304) (IN), TLS handshake, CERT verify (15):
21:19:48.448956 http.c:994              == Info: (304) (IN), TLS handshake, Finished (20):
21:19:48.449011 http.c:994              == Info: (304) (OUT), TLS handshake, Finished (20):
21:19:48.449019 http.c:994              == Info: SSL connection using TLSv1.3 / AEAD-CHACHA20-POLY1305-SHA256 / [blank] / UNDEF
21:19:48.449023 http.c:994              == Info: ALPN: server accepted h2
21:19:48.449027 http.c:994              == Info: Server certificate:
21:19:48.449032 http.c:994              == Info:  subject: CN=github.com
21:19:48.449036 http.c:994              == Info:  start date: Sep  1 00:00:00 2026 GMT
21:19:48.449039 http.c:994              == Info:  expire date: Nov 29 23:59:59 2026 GMT
21:19:48.449043 http.c:994              == Info:  subjectAltName: host "github.com" matched cert's "github.com"
21:19:48.449048 http.c:994              == Info:  issuer: C=GB; O=Sectigo Limited; CN=Sectigo Public Server Authentication CA DV E36
21:19:48.449051 http.c:994              == Info:  SSL certificate verify ok.
21:19:48.449074 http.c:994              == Info: using HTTP/2
